Plot,GS_Count,GS_Presence,Badger_Count,Badger_Presence,BRTE,POSE,NPG,EPG,TotalShrub,DispIndex_GS,Precip,STATSoil_PS,BurnFreq,Badg_Human,Badg_Grassland,GS_Human,GS_Grassland
155,0,0,0,0,85.08804377,0,0,0,0,0.002236068,212.5610046,97.5,3,21.55980502,78.44019498,12.78538813,87.21461187
156,10,1,0,0,77.5729861,1.782267116,0,0,0,0.008374783,279.2019958,96.25,2,10.4494382,89.5505618,2.168949772,97.83105023
158,1,0,0,0,85.6788199,0,0,0,0,0,214.7070007,97.5,3,11.11111111,88.88888889,9.071729958,90.92827004
160,35,1,2,1,2.513103544,36.19036993,0.340136054,1.244969507,3.06122449,0.029149942,262.223999,96.25,2,2.548725637,97.11394303,3.775743707,96.22425629
167,0,0,0,0,37.91313131,3.222222222,0,26.61616162,0,0,205.1640015,97.5,5,7.65478424,92.34521576,9.747706422,90.25229358
170,0,0,0,0,76.31632051,0.336700337,0,0,0,0,201.8289948,97.5,7,21.81372549,74.11764706,20,80
174,0,0,0,0,35.71920463,19.82409125,0,0,0,0,214.6620026,91.25,4,0.037650602,99.9623494,0,100
183,0,0,0,0,0.113378685,19.83847546,0,0,0,0,218.6199951,97.5,3,13.03370787,84.00749064,2.53164557,97.46835443
186,0,0,0,0,94.38484549,0,0,0,0,0,218.0059967,97.5,3,53.94495413,40.18348624,47.09677419,49.67741935
200,27,1,0,0,59.84388807,7.557565982,0.333333333,0,3.777777778,0.069337525,260.3699951,98.06,1,0.301318267,37.85310734,0,48.57142857
202,26,1,0,0,2.175234355,12.24213265,0.462962963,2.706384272,7.714730852,0.035452737,263.4519958,98.06,2,0.603378922,44.16733709,0.572737686,46.50630011
203,109,1,0,0,43.61471861,11.28294281,0,0.223344557,0,0.044545455,260.2810059,98.06,1,0.955657492,48.81498471,0,50.11441648
204,49,1,1,1,46.27625461,11.30687831,0,0.891133558,0,0.099090909,260.197998,98.06,1,0,40.79277471,0,34.71264368
209,46,1,0,0,54.08438335,8.153255059,0.572737686,5.922823597,0,0.060827625,263.3240051,98.06,1,0,43.14606742,0,35.54285714
211,15,1,1,1,47.5313733,17.39140546,2.340206185,0,0,0.016959966,280.3779907,98.25,2,11.46067416,87.60299625,2.178899083,97.70642202
214,30,1,1,1,71.18973239,5.384021622,0.334455668,4.303857286,0,0.058,263.4320068,98.25,1,0,38.96620278,0,48.62700229
216,37,1,0,0,40.76184856,7.318972004,0,13.53186177,0,0.099469179,270.3760071,98.06,1,0,88.53161844,0,62.56
217,16,1,0,0,39.00305646,11.04535572,11.10151973,0,0,0.015899968,284.6520081,98.25,2,3.82685069,89.1468005,0,98.71645274
220,27,1,0,0,46.02707346,2.354795117,0,0,24.46496713,0.011785113,285.8670044,98.25,3,18.02173099,56.80029974,13.17296678,63.80297824
226,60,1,2,1,4.376143793,16.96564471,0,0.336700337,4.380204315,0.02,287.3099976,98.25,2,0,89.84638441,0,99.53970081
230,70,1,6,1,0,0,0,0,0,0.05421152,266.3089905,98.25,2,0.52532833,80.22514071,0.684150513,70.35347777
231,46,1,17,1,0,17.73824809,0,0,0,0.082495791,265.1470032,98.25,2,1.516108654,69.8041693,2.083333333,75.36764706
233,60,1,0,0,1.337845576,11.28912993,0,0,4.344556678,0.066966281,251.0110016,98.06,2,0.114329268,79.49695122,0,84.27230047
235,51,1,2,1,0,9.011223345,0,0.555555556,0.671156004,0.060373835,256.6409912,98.06,2,0.210970464,89.66244726,0,98.53917663
237,27,1,0,0,0,9.194553242,0,0.781167686,2.014659062,0.114039467,260.9419861,98.06,2,1.295641932,52.17903416,0,89.09465021
238,65,1,0,0,27.88079205,11.80737076,0,0.900226757,0,0.042951599,254.4830017,98.06,3,0,99.50682853,0,100
244,2,0,0,0,86.31555922,0,0,0,0,0.006201737,212.7359924,96.5,1,4.686914136,88.78890139,4.228571429,87.88571429
245,5,1,0,0,81.11027804,4.469135802,0,0,0,0.002480695,212.8690033,96.25,1,26.69322709,72.17795485,13.85006353,82.08386277
246,4,1,2,1,80.19715007,11.33831226,0,0,0,0.001087857,209.9559937,96.5,2,28.95622896,69.92143659,22.09436133,77.90563867
249,10,1,1,1,79.28395062,2.668911336,0,0.667789001,1.558922559,0.0875,267.1879883,96.25,2,3.252367229,95.38904899,8.114285714,91.88571429
250,14,1,0,0,67.07256236,12.54421769,0,0.444444444,4.346938776,0.049497475,271.2879944,96.25,1,1.187150838,98.81284916,0,100
